,gene1,gene2,label,meta_path,rank_percent
0,G:HGNC:9402,G:HGNC:8591,1,['GPdPG'],0.932
1,G:HGNC:9322,G:HGNC:15566,1,['GTG'],0.913
2,G:HGNC:854,G:HGNC:16832,1,"['GTG', 'GMDpDMG']",1.0
3,G:HGNC:17927,G:HGNC:28407,1,['GTG'],0.964
4,G:HGNC:851,G:HGNC:857,1,"['GDpDG', 'GDpDpDG', 'GTG']",1.0
5,G:HGNC:7063,G:HGNC:4638,1,"['GTG', 'GMDpDMG']",0.973
6,G:HGNC:17,G:HGNC:23492,1,['GTG'],0.92
7,G:HGNC:29149,G:HGNC:9303,1,"['GTG', 'GMDpDMG']",0.998
8,G:HGNC:9038,G:HGNC:27396,1,"['GTG', 'GMDpDMG']",0.99
9,G:HGNC:16637,G:HGNC:22960,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.979
10,G:HGNC:6190,G:HGNC:12434,1,"['GTG', 'GMG', 'GMDMG']",0.957
11,G:HGNC:16890,G:HGNC:15566,1,['GTG'],0.93
12,G:HGNC:4123,G:HGNC:4124,1,"['GTG', 'GMDpDMG']",1.0
13,G:HGNC:10251,G:HGNC:9395,1,"['GTG', 'GMDMG']",0.963
14,G:HGNC:9288,G:HGNC:9306,1,"['GTG', 'GMG']",0.932
15,G:HGNC:33437,G:HGNC:4642,1,"['GTG', 'GMG']",0.998
16,G:HGNC:9314,G:HGNC:9316,1,['GTG'],0.982
17,G:HGNC:1470,G:HGNC:1460,1,['GPdPG'],0.9
18,G:HGNC:7715,G:HGNC:7716,1,"['GDpDpDG', 'GTG']",0.996
19,G:HGNC:7460,G:HGNC:7462,1,['GDpDG'],0.951
20,G:HGNC:7455,G:HGNC:7716,1,"['GDpDG', 'GDpDpDG', 'GTG']",0.985
21,G:HGNC:815,G:HGNC:13211,1,['GTG'],0.976
22,G:HGNC:23993,G:HGNC:877,1,,0.0
23,G:HGNC:9288,G:HGNC:9316,1,['GTG'],0.57
24,G:HGNC:4125,G:HGNC:22946,1,['GTG'],0.95
25,G:HGNC:9306,G:HGNC:9322,1,['GTG'],0.881
26,G:HGNC:9306,G:HGNC:18583,1,['GTG'],0.731
27,G:HGNC:1863,G:HGNC:26459,1,['GTG'],0.972
28,G:HGNC:6512,G:HGNC:17095,1,"['GDpDpDG', 'GTG']",0.998
29,G:HGNC:16637,G:HGNC:19978,1,['GMDMG'],0.781
30,G:HGNC:393,G:HGNC:9395,1,"['GTG', 'GMDMG']",0.995
31,G:HGNC:9410,G:HGNC:9416,1,['GPdPG'],0.863
32,G:HGNC:2730,G:HGNC:11809,1,['GPdPG'],0.949
33,G:HGNC:9278,G:HGNC:25415,1,['GTG'],0.973
34,G:HGNC:18133,G:HGNC:9412,1,['GTG'],0.563
35,G:HGNC:6863,G:HGNC:16254,1,['GPdPG'],0.963
36,G:HGNC:391,G:HGNC:16254,1,"['GMG', 'GMDpDMG']",0.683
37,G:HGNC:8957,G:HGNC:8960,1,"['GDpDpDG', 'GTG']",0.991
38,G:HGNC:7680,G:HGNC:20779,1,['GTG'],0.99
39,G:HGNC:2285,G:HGNC:2292,1,['GTG'],0.994
40,G:HGNC:13480,G:HGNC:6849,1,['GPdPG'],0.963
41,G:HGNC:362,G:HGNC:49151,1,['GTG'],0.947
42,G:HGNC:9402,G:HGNC:9380,1,['GTG'],0.789
43,G:HGNC:9288,G:HGNC:9314,1,"['GTG', 'GMG', 'GMDpDMG']",0.633
44,G:HGNC:14988,G:HGNC:14683,1,['GTG'],0.981
45,G:HGNC:10251,G:HGNC:18133,1,"['GTG', 'GMG']",0.984
46,G:HGNC:6190,G:HGNC:3657,1,['GTG'],0.904
47,G:HGNC:9157,G:HGNC:24887,1,['GTG'],0.682
48,G:HGNC:7462,G:HGNC:7456,1,"['GDpDG', 'GDpDpDG']",0.998
49,G:HGNC:29149,G:HGNC:9288,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.706
50,G:HGNC:7460,G:HGNC:7456,1,['GDpDG'],0.963
51,G:HGNC:9038,G:HGNC:9039,1,['GTG'],0.896
52,G:HGNC:9288,G:HGNC:28110,1,['GTG'],0.802
53,G:HGNC:3391,G:HGNC:6190,1,['GPdPG'],0.805
54,G:HGNC:11408,G:HGNC:392,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.998
55,G:HGNC:2730,G:HGNC:10481,1,"['GTG', 'GMDpDMG']",0.833
56,G:HGNC:18485,G:HGNC:26933,1,"['GTG', 'GMDMG']",0.893
57,G:HGNC:3002,G:HGNC:23028,1,['GTG'],0.921
58,G:HGNC:33437,G:HGNC:7063,1,['GMDMG'],0.892
59,G:HGNC:21328,G:HGNC:7760,1,['GTG'],0.987
60,G:HGNC:2265,G:HGNC:2277,1,['GTG'],0.987
61,G:HGNC:16381,G:HGNC:15566,1,['GTG'],0.952
62,G:HGNC:4123,G:HGNC:21531,1,['GTG'],0.95
63,G:HGNC:9316,G:HGNC:15566,1,['GTG'],0.914
64,G:HGNC:9276,G:HGNC:15566,1,['GTG'],0.963
65,G:HGNC:7455,G:HGNC:7715,1,"['GDpDpDG', 'GTG']",0.996
66,G:HGNC:9286,G:HGNC:9317,1,['GTG'],0.531
67,G:HGNC:9302,G:HGNC:25415,1,['GTG'],0.753
68,G:HGNC:14269,G:HGNC:19343,1,"['GTG', 'GMDMG']",0.999
69,G:HGNC:7063,G:HGNC:4634,1,['GTG'],0.866
70,G:HGNC:4635,G:HGNC:4629,1,['GTG'],0.971
71,G:HGNC:4632,G:HGNC:4629,1,['GTG'],0.956
72,G:HGNC:7708,G:HGNC:7710,1,"['GTG', 'GMDpDMG']",0.999
73,G:HGNC:15993,G:HGNC:5201,1,['GTG'],0.87
74,G:HGNC:8784,G:HGNC:8786,1,"['GPdPG', 'GTG']",0.846
75,G:HGNC:8592,G:HGNC:9380,1,['GTG'],0.527
76,G:HGNC:16890,G:HGNC:9317,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.888
77,G:HGNC:851,G:HGNC:856,1,"['GTG', 'GMDpDMG']",1.0
78,G:HGNC:2269,G:HGNC:2277,1,['GTG'],0.941
79,G:HGNC:9304,G:HGNC:9318,1,['GTG'],0.659
80,G:HGNC:3391,G:HGNC:10481,1,['GTG'],0.968
81,G:HGNC:9029,G:HGNC:27396,1,['GTG'],0.948
82,G:HGNC:15993,G:HGNC:19650,1,['GTG'],0.982
83,G:HGNC:437,G:HGNC:438,1,['GTG'],0.974
84,G:HGNC:29831,G:HGNC:26404,1,['GTG'],0.993
85,G:HGNC:7455,G:HGNC:7459,1,"['GDpDG', 'GTG']",0.999
86,G:HGNC:9157,G:HGNC:18590,1,['GTG'],0.493
87,G:HGNC:2460,G:HGNC:9412,1,['GTG'],0.714
88,G:HGNC:9410,G:HGNC:11399,1,['GPdPG'],0.863
89,G:HGNC:11779,G:HGNC:11778,1,['GTG'],0.804
90,G:HGNC:18133,G:HGNC:2933,1,['GTG'],0.785
91,G:HGNC:8794,G:HGNC:8779,1,['GTG'],0.953
92,G:HGNC:19875,G:HGNC:19877,1,['GTG'],0.967
93,G:HGNC:28110,G:HGNC:9305,1,"['GTG', 'GMG']",0.946
94,G:HGNC:476,G:HGNC:30502,1,['GMG'],0.993
95,G:HGNC:10481,G:HGNC:3657,1,['GTG'],0.673
96,G:HGNC:393,G:HGNC:11842,1,"['GDpDpDG', 'GTG']",0.99
97,G:HGNC:4635,G:HGNC:7064,1,['GPdPG'],0.917
98,G:HGNC:22140,G:HGNC:9410,1,['GTG'],0.577
99,G:HGNC:6190,G:HGNC:6524,1,['GTG'],0.826
100,G:HGNC:30802,G:HGNC:23492,1,['GTG'],0.545
101,G:HGNC:9416,G:HGNC:392,1,"['GTG', 'GMDMG']",0.843
102,G:HGNC:1133,G:HGNC:3657,1,['GTG'],0.851
103,G:HGNC:11455,G:HGNC:30004,1,['GTG'],0.951
104,G:HGNC:30167,G:HGNC:24811,1,"['GTG', 'GMDMG']",0.994
105,G:HGNC:16890,G:HGNC:9319,1,"['GTG', 'GMDMG']",0.982
