"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"1","NM_001642","NM_004058","HGNC:598","HGNC:1487","0.545","0.809","0","0.148","0.186","0","0.86","0.412","0",0
"2","NG_000833","NM_138468","HGNC:5746","HGNC:14442","0","0","0","0","0","0","0","0","0",0
"3","NM_173852","NM_018244","HGNC:28942","HGNC:15891","0.335","0.189","0","0.268","0.098","0","0.249","0.49","0.477",0
"4","NM_145312","NM_199286","HGNC:23440","HGNC:19199","0","0","0","0","0","0","0","0","0.146",0
"5","NM_006823","NM_024759","HGNC:9017","HGNC:25854","0","0","0","0","0","0","0","0","0",0
"6","NM_152441","NM_014641","HGNC:28624","HGNC:21163","0.234","0.235","0.477","0.102","0.031","0.056","0.229","0.4","0.75",0
"7","NM_002027","NR_036267","HGNC:3782","HGNC:38233","0","0","0","0","0","0","0","0","0",0
"8","NM_001355256","NM_001390","HGNC:24742","HGNC:3057","0","0","0","0","0","0","0","0","0",0
"9","NM_001747","NM_033200","HGNC:1474","HGNC:25096","0","0","1","0","0","0.067","0","0.271","1",0
"10","NM_025015","NR_004399","HGNC:19022","HGNC:32745","0","0","0","0","0","0","0","0","0",0
"11","NM_015186","NM_020382","HGNC:1908","HGNC:29489","0.148","0","1","0.055","0","0.067","0.112","0","1",0
"12","NM_003217","NM_030900","HGNC:11723","HGNC:17443","0.305","0.424","0.492","0.161","0.121","0.05","0.299","0.529","0.657",0
"13","NM_001004738","NM_007045","HGNC:8350","HGNC:17012","0","0.118","0","0","0.016","0","0","0.356","0",0
"14","NM_152374","NR_027273","HGNC:26800","HGNC:23130","0","0","0","0","0","0","0","0","0",0
"15","NM_152618","NM_003317","HGNC:26648","HGNC:11825","0.267","0","1","0.136","0","0.067","0.195","0","1",0
"16","NM_152758","NM_000732","HGNC:26465","HGNC:1673","0.313","0.622","0.157","0.134","0.091","0.036","0.237","0.784","0.383",0
"17","NM_001001913","NM_019070","HGNC:14853","HGNC:18684","0","0.096","0","0","0.016","0","0","0.233","0",0
"18","NM_152317","NM_032825","HGNC:22952","HGNC:17409","0","0","0","0","0","0","0","0","0",0
"19","NR_027260","NR_003342.1","HGNC:23134","HGNC:33044","0","0","0","0","0","0","0","0","0",0
"20","NM_005217","NM_014565","HGNC:2762","HGNC:8179","0","0.048","0","0","0.016","0","0","0.235","0",0
"21","NM_022064","NR_107003","HGNC:21148","HGNC:50166","0","0","0","0","0","0","0","0.171","0",0
"22","NM_018134","NM_003724","HGNC:25545","HGNC:6199","0","0","0","0","0","0","0","0","0",0
"23","NG_023160","NM_001102562","HGNC:37170","HGNC:33609","0","0","0","0","0","0","0","0","0",0
"24","NM_001136483","NM_152307","HGNC:37241","HGNC:23790","0","0","0","0","0","0","0","0","0",0
"25","NM_016006","NM_018933","HGNC:21396","HGNC:8684","0.04","0","0","0.018","0","0","0.107","0.117","0",0
"26","NM_001747","NM_152388","HGNC:1474","HGNC:14432","0.703","0.161","1","0.224","0.063","0.067","0.288","0.266","1",0
"27","NM_145725","NM_002053","HGNC:12033","HGNC:4182","0.513","0.489","0.443","0.246","0.106","0.107","0.384","0.543","0.628",0
"28","NR_002328","NR_023917","HGNC:16341","HGNC:9589","0","0","0","0","0","0","0","0","0",0
"29","NM_017949","NM_138416","HGNC:31350","HGNC:25147","0","0","0","0","0","0","0","0","0",0
"30","NM_006989","NM_006942","HGNC:23181","HGNC:11196","0.242","0.246","0","0.093","0.036","0","0.176","0.413","0.145",0
"31","NM_004200","NM_012096","HGNC:11514","HGNC:24035","0.386","0.539","0.558","0.196","0.198","0.155","0.265","0.612","0.734",0
"32","NR_003301.1","NM_024713","HGNC:33028","HGNC:26199","0","0","0","0","0","0","0","0","0",0
"33","NM_001080440","NM_022769","HGNC:34071","HGNC:26148","0.06","0","0.146","0.028","0","0.03","0.12","0.191","0.355",0
"34","NM_001024678","NM_014175","HGNC:28947","HGNC:14054","0","0","0","0","0","0","0","0","0",0
"35","NM_020178","NM_147174","HGNC:1369","HGNC:19133","0","0","0","0","0","0","0","0","0",0
"36","NM_001099851","NM_005915","HGNC:29485","HGNC:6949","0","0","0","0","0","0","0","0","0",0
