,gene1,gene2,label,meta_path,rank_percent
0,G:HGNC:15997,G:HGNC:9226,1,['GMDMG'],0.942
1,G:HGNC:9304,G:HGNC:9322,1,['GTG'],0.967
2,G:HGNC:9288,G:HGNC:30695,1,"['GMDMG', 'GMDpDMG']",0.974
3,G:HGNC:26307,G:HGNC:4879,1,['GTG'],0.636
4,G:HGNC:4627,G:HGNC:7063,1,['GPdPG'],0.889
5,G:HGNC:9314,G:HGNC:15566,1,['GTG'],0.784
6,G:HGNC:20785,G:HGNC:15566,1,['GTG'],0.968
7,G:HGNC:24550,G:HGNC:26933,1,"['GTG', 'GMDMG']",0.843
8,G:HGNC:9061,G:HGNC:9065,1,"['GTG', 'GMDMG']",0.97
9,G:HGNC:20785,G:HGNC:9314,1,['GTG'],0.415
10,G:HGNC:7455,G:HGNC:7707,1,"['GDpDG', 'GDpDpDG']",0.994
11,G:HGNC:9726,G:HGNC:9725,1,['GTG'],0.996
12,G:HGNC:8592,G:HGNC:18133,1,['GPdPG'],0.963
13,G:HGNC:13538,G:HGNC:9410,1,['GPdPG'],0.863
14,G:HGNC:3655,G:HGNC:6190,1,"['GTG', 'GMDMG']",0.999
15,G:HGNC:22140,G:HGNC:8590,1,"['GTG', 'GMDpDMG']",0.641
16,G:HGNC:16381,G:HGNC:9305,1,['GMDMG'],0.956
17,G:HGNC:11408,G:HGNC:9412,1,['GTG'],0.713
18,G:HGNC:13397,G:HGNC:24376,1,['GTG'],0.997
19,G:HGNC:9137,G:HGNC:17035,1,"['GDpDG', 'GTG']",0.999
20,G:HGNC:25996,G:HGNC:24678,1,['GTG'],0.924
21,G:HGNC:29958,G:HGNC:22960,1,['GTG'],0.951
22,G:HGNC:29149,G:HGNC:9307,1,['GTG'],0.844
23,G:HGNC:9416,G:HGNC:13480,1,['GPdPG'],0.963
24,G:HGNC:9316,G:HGNC:9303,1,['GTG'],0.861
25,G:HGNC:16890,G:HGNC:9314,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.686
26,G:HGNC:9304,G:HGNC:9305,1,"['GTG', 'GMG']",0.995
27,G:HGNC:1374,G:HGNC:1375,1,['GPdPG'],0.955
28,G:HGNC:19662,G:HGNC:7063,1,['GPdPG'],0.917
29,G:HGNC:6190,G:HGNC:9618,1,"['GTG', 'GMDpDMG']",0.972
30,G:HGNC:19342,G:HGNC:17827,1,['GTG'],0.988
31,G:HGNC:9276,G:HGNC:9315,1,['GTG'],0.682
32,G:HGNC:9304,G:HGNC:15566,1,['GTG'],0.935
33,G:HGNC:3386,G:HGNC:9618,1,"['GTG', 'GMDMG']",0.995
34,G:HGNC:9381,G:HGNC:9407,1,['GPdPG'],0.947
35,G:HGNC:6190,G:HGNC:6524,1,['GTG'],0.826
36,G:HGNC:20785,G:HGNC:9319,1,['GTG'],0.858
37,G:HGNC:9278,G:HGNC:9302,1,['GTG'],0.841
38,G:HGNC:1464,G:HGNC:1469,1,['GTG'],0.922
39,G:HGNC:9381,G:HGNC:1985,1,"['GTG', 'GMG', 'GMDMG']",0.962
40,G:HGNC:28110,G:HGNC:9315,1,"['GTG', 'GMDMG']",0.709
41,G:HGNC:3284,G:HGNC:28883,1,['GMDpDMG'],0.538
42,G:HGNC:393,G:HGNC:9403,1,['GTG'],0.933
43,G:HGNC:30040,G:HGNC:27396,1,['GTG'],0.966
44,G:HGNC:9036,G:HGNC:17825,1,['GTG'],0.925
45,G:HGNC:9322,G:HGNC:30695,1,"['GTG', 'GMDMG']",0.794
46,G:HGNC:4706,G:HGNC:4707,1,['GTG'],0.994
47,G:HGNC:22140,G:HGNC:6863,1,['GTG'],0.762
48,G:HGNC:11378,G:HGNC:24592,1,['GTG'],0.979
49,G:HGNC:8957,G:HGNC:8960,1,"['GDpDpDG', 'GTG']",0.991
50,G:HGNC:5649,G:HGNC:37280,0,,0.0
51,G:HGNC:21604,G:HGNC:23700,0,,0.0
52,G:HGNC:315,G:HGNC:30599,0,['GTG'],0.347
53,G:HGNC:24867,G:HGNC:28135,0,"['GTG', 'GMDMG', 'GMDpDMG']",0.893
54,G:HGNC:3999,G:HGNC:14347,0,['GTG'],0.448
55,G:HGNC:23074,G:HGNC:6343,0,"['GTG', 'GMDMG']",0.495
56,G:HGNC:26932,G:HGNC:32846,0,,0.0
57,G:HGNC:4856,G:HGNC:17879,0,['GTG'],0.576
58,G:HGNC:11837,G:HGNC:2563,0,,0.0
59,G:HGNC:1925,G:HGNC:12483,0,"['GTG', 'GMDMG']",0.563
60,G:HGNC:25430,G:HGNC:26430,0,['GTG'],0.876
61,G:HGNC:29279,G:HGNC:2536,0,,0.0
62,G:HGNC:31412,G:HGNC:17505,0,,0.0
