RefSeq1,RefSeq2,gene1,gene2,label
NM_002739,NM_002577,HGNC:9402,HGNC:8591,1
NM_006247,NM_030768,HGNC:9322,HGNC:15566,1
NM_001693,NM_004231,HGNC:854,HGNC:16832,1
NM_014554,NM_152699,HGNC:17927,HGNC:28407,1
NM_001690,NM_001696,HGNC:851,HGNC:857,1
NM_002413,NM_000852,HGNC:7063,HGNC:4638,1
NM_001086,NM_001011709,HGNC:17,HGNC:23492,1
NM_015020,NM_002716,HGNC:29149,HGNC:9303,1
NM_000929,NM_213600,HGNC:9038,HGNC:27396,1
NM_001098521,NM_016245,HGNC:16637,HGNC:22960,1
NM_002227,NM_003328,HGNC:6190,HGNC:12434,1
NM_005808,NM_030768,HGNC:16890,HGNC:15566,1
NM_020474,NM_004481,HGNC:4123,HGNC:4124,1
NM_005406,NM_212535,HGNC:10251,HGNC:9395,1
NM_006241,NM_181876,HGNC:9288,HGNC:9306,1
NM_001080843,NM_000854,HGNC:33437,HGNC:4642,1
NM_000944,NM_005605,HGNC:9314,HGNC:9316,1
NM_172226,NM_015981,HGNC:1470,HGNC:1460,1
NM_002496,NM_007103,HGNC:7715,HGNC:7716,1
YP_003024034,YP_003024037,HGNC:7460,HGNC:7462,1
YP_003024026,NM_007103,HGNC:7455,HGNC:7716,1
NM_001683,NM_001001486,HGNC:815,HGNC:13211,1
NM_181806,NM_001182,HGNC:23993,HGNC:877,1
NM_006241,NM_005605,HGNC:9288,HGNC:9316,1
NM_004482,NM_024572,HGNC:4125,HGNC:22946,1
NM_181876,NM_006247,HGNC:9306,HGNC:9322,1
NM_181876,NM_020700,HGNC:9306,HGNC:18583,1
NM_001266,NM_145024,HGNC:1863,HGNC:26459,1
NM_020117,NM_015340,HGNC:6512,HGNC:17095,1
NM_001098521,NM_138412,HGNC:16637,HGNC:19978,1
NM_181690,NM_212535,HGNC:393,HGNC:9395,1
NM_006257,NM_006259,HGNC:9410,HGNC:9416,1
NM_013994,NM_005424,HGNC:2730,HGNC:11809,1
NM_002707,NM_152542,HGNC:9278,HGNC:25415,1
NM_016281,NM_002744,HGNC:18133,HGNC:9412,1
NM_001042600,NM_080836,HGNC:6863,HGNC:16254,1
NM_005163,NM_080836,HGNC:391,HGNC:16254,1
NM_002641,NM_153747,HGNC:8957,HGNC:8960,1
NM_001543,NM_022569,HGNC:7680,HGNC:20779,1
NM_004374,NM_001867,HGNC:2285,HGNC:2292,1
NM_014683,NM_002446,HGNC:13480,HGNC:6849,1
NM_001625,NM_016283,HGNC:362,HGNC:49151,1
NM_002739,NM_002730,HGNC:9402,HGNC:9380,1
NM_006241,NM_000944,HGNC:9288,HGNC:9314,1
NM_015352,NM_015227,HGNC:14988,HGNC:14683,1
NM_005406,NM_016281,HGNC:10251,HGNC:18133,1
NM_002227,NM_002005,HGNC:6190,HGNC:3657,1
NM_005396,NM_004650,HGNC:9157,HGNC:24887,1
YP_003024037,YP_003024027,HGNC:7462,HGNC:7456,1
NM_015020,NM_006241,HGNC:29149,HGNC:9288,1
YP_003024034,YP_003024027,HGNC:7460,HGNC:7456,1
NM_000929,NM_001004426,HGNC:9038,HGNC:9039,1
NM_006241,NM_145049,HGNC:9288,HGNC:28110,1
NM_020526,NM_002227,HGNC:3391,HGNC:6190,1
NM_006282,NM_001626,HGNC:11408,HGNC:392,1
NM_013994,NM_001005861,HGNC:2730,HGNC:10481,1
NM_018146,NM_016390,HGNC:18485,HGNC:26933,1
NM_001128141,NM_022355,HGNC:3002,HGNC:23028,1
NM_001080843,NM_002413,HGNC:33437,HGNC:7063,1
NM_080741,NM_006656,HGNC:21328,HGNC:7760,1
NM_001861,NM_004373,HGNC:2265,HGNC:2277,1
NM_139245,NM_030768,HGNC:16381,HGNC:15566,1
NM_020474,NM_054110,HGNC:4123,HGNC:21531,1
NM_005605,NM_030768,HGNC:9316,HGNC:15566,1
NM_002706,NM_030768,HGNC:9276,HGNC:15566,1
YP_003024026,NM_002496,HGNC:7455,HGNC:7715,1
NM_006741,NM_000945,HGNC:9286,HGNC:9317,1
NM_014225,NM_152542,HGNC:9302,HGNC:25415,1
NM_015879,NM_152996,HGNC:14269,HGNC:19343,1
NM_002413,NM_000848,HGNC:7063,HGNC:4634,1
NM_000849,NM_001512,HGNC:4635,HGNC:4629,1
NM_000561,NM_001512,HGNC:4632,HGNC:4629,1
NM_004550,NM_004551,HGNC:7708,HGNC:7710,1
NM_022467,NM_004807,HGNC:15993,HGNC:5201,1
NM_001083,NM_000283,HGNC:8784,HGNC:8786,1
NM_002578,NM_002730,HGNC:8592,HGNC:9380,1
NM_005808,NM_000945,HGNC:16890,HGNC:9317,1
NM_001690,NM_001695,HGNC:851,HGNC:856,1
NM_001862,NM_004373,HGNC:2269,HGNC:2277,1
NM_002717,NM_147180,HGNC:9304,HGNC:9318,1
NM_020526,NM_001005861,HGNC:3391,HGNC:10481,1
NM_003561,NM_213600,HGNC:9029,HGNC:27396,1
NM_022467,NM_004854,HGNC:15993,HGNC:19650,1
NM_001631,NM_000478,HGNC:437,HGNC:438,1
NM_023018,NM_153013,HGNC:29831,HGNC:26404,1
YP_003024026,YP_003024035,HGNC:7455,HGNC:7459,1
NM_005396,NM_025225,HGNC:9157,HGNC:18590,1
NM_001320,NM_002744,HGNC:2460,HGNC:9412,1
NM_006257,NM_003157,HGNC:9410,HGNC:11399,1
NM_003245,NM_198951,HGNC:11779,HGNC:11778,1
NM_016281,NM_004409,HGNC:18133,HGNC:2933,1
NM_003719,NM_000922,HGNC:8794,HGNC:8779,1
NM_022087,NM_024642,HGNC:19875,HGNC:19877,1
NM_145049,NM_181678,HGNC:28110,HGNC:9305,1
NM_001008219,NM_032517,HGNC:476,HGNC:30502,1
NM_001005861,NM_002005,HGNC:10481,HGNC:3657,1
NM_181690,NM_006852,HGNC:393,HGNC:11842,1
NM_000849,NM_004528,HGNC:4635,HGNC:7064,1
NM_020223,NM_006257,HGNC:22140,HGNC:9410,1
NM_002227,NM_005356,HGNC:6190,HGNC:6524,1
NM_020376,NM_001011709,HGNC:30802,HGNC:23492,1
NM_006259,NM_001626,HGNC:9416,HGNC:392,1
NM_000061,NM_002005,HGNC:1133,HGNC:3657,1
NM_003166,NM_001017389,HGNC:11455,HGNC:30004,1
NM_004911,NM_006810,HGNC:30167,HGNC:24811,1
NM_005808,NM_002720,HGNC:16890,HGNC:9319,1
NM_052917,NM_003774,HGNC:23242,HGNC:4126,1
NM_000294,NM_006213,HGNC:8931,HGNC:8930,1
YP_003024037,NM_005006,HGNC:7462,HGNC:7707,1
NM_032783,NM_016245,HGNC:25891,HGNC:22960,1
NM_031417,NM_002744,HGNC:13538,HGNC:9412,1
NM_000672,NM_000673,HGNC:255,HGNC:256,1
NM_001865,NM_004255,HGNC:2288,HGNC:2267,1
NM_198516,NM_024642,HGNC:30488,HGNC:19877,1
NM_000849,NM_000848,HGNC:4635,HGNC:4634,1
YP_003024026,NM_021074,HGNC:7455,HGNC:7717,1
NM_004482,NM_198516,HGNC:4125,HGNC:30488,1
NM_014033,NM_024831,HGNC:24550,HGNC:17843,1
NM_002578,NM_006257,HGNC:8592,HGNC:9410,1
NM_001876,NM_152246,HGNC:2328,HGNC:2329,1
NM_004181,NM_031907,HGNC:12513,HGNC:13485,1
NM_000944,NM_002708,HGNC:9314,HGNC:9281,1
NM_000149,NM_000150,HGNC:4014,HGNC:4017,1
NM_173654,"NM_003605, NM_181672",HGNC:28526,HGNC:8127,1
NM_181690,NM_006259,HGNC:393,HGNC:9416,1
NM_001001396,NM_001681,HGNC:817,HGNC:812,1
NM_005262,NM_181701,HGNC:4236,HGNC:30249,1
NM_052917,NM_024642,HGNC:23242,HGNC:19877,1
NM_005406,NM_080836,HGNC:10251,HGNC:16254,1
NM_001122636,NM_004481,HGNC:4131,HGNC:4124,1
NM_005114,NM_006041,HGNC:5194,HGNC:5198,1
NM_002707,NM_032192,HGNC:9278,HGNC:9287,1
NM_032482,NM_006709,HGNC:24948,HGNC:14129,1
NM_004482,NM_017417,HGNC:4125,HGNC:4130,1
NM_020474,NM_024572,HGNC:4123,HGNC:22946,1
NM_000944,NM_021003,HGNC:9314,HGNC:9275,1
NM_005793,NM_005009,HGNC:20567,HGNC:7852,1
NM_015020,NM_032192,HGNC:29149,HGNC:9287,1
NM_145693,NM_014646,HGNC:13345,HGNC:14450,1
NM_147128,NM_181710,HGNC:22316,HGNC:17726,1
NM_001320,NM_002577,HGNC:2460,HGNC:8591,1
NM_014568,NM_054110,HGNC:4127,HGNC:21531,1
NM_000196,NM_145168,HGNC:5209,HGNC:29834,1
NM_015670,NM_021627,HGNC:17862,HGNC:23116,1
NM_003561,NM_032562,HGNC:9029,HGNC:18555,1
NM_002576,NM_002744,HGNC:8590,HGNC:9412,1
NM_005607,NM_005424,HGNC:9611,HGNC:11809,1
NM_182811,NM_033123,HGNC:9065,HGNC:19218,1
NM_001160233,NM_152296,HGNC:799,HGNC:801,1
NM_020526,NM_004383,HGNC:3391,HGNC:2444,1
NM_020223,NM_002446,HGNC:22140,HGNC:6849,1
NM_013358,NM_012387,HGNC:18367,HGNC:18368,1
NM_005539,NM_016532,HGNC:6076,HGNC:33882,1
YP_003024034,NM_021074,HGNC:7460,HGNC:7717,1
NM_000853,NM_000854,HGNC:4641,HGNC:4642,1
NM_004431,NM_005424,HGNC:3386,HGNC:11809,1
NM_004550,YP_003024035,HGNC:7708,HGNC:7459,1
YP_003024033,NM_021074,HGNC:7458,HGNC:7717,1
NM_000851,NM_001080843,HGNC:4637,HGNC:33437,1
NM_001865,NM_001864,HGNC:2288,HGNC:2287,1
