RefSeq1,RefSeq2,gene1,gene2,label
NM_212555,NM_152283,HGNC:32249,HGNC:23241,0
NM_213608,NM_178314,HGNC:33809,HGNC:26814,0
NM_018485,NM_024320,HGNC:4527,HGNC:28149,0
NM_015497,NM_014832,HGNC:24522,HGNC:19165,0
NM_181684,NM_000615,HGNC:20530,HGNC:7656,0
NR_003206.1,NM_052865,HGNC:33001,HGNC:16205,0
NM_018674,NM_021728.,HGNC:21263,HGNC:8522,0
NM_014208,NR_028375,HGNC:3054,HGNC:37153,0
NM_030652,NM_004343,HGNC:13944,HGNC:1455,0
NM_013335,NM_203436,HGNC:22923,HGNC:24311,0
NM_138574,NR_003334,HGNC:21095,HGNC:33086,0
NM_005175,NM_015336,HGNC:841,HGNC:18412,0
NM_032926,NM_000134,HGNC:28247,HGNC:3556,0
NM_000342,NR_002974,HGNC:11027,HGNC:32635,0
NM_025069,NM_016506,HGNC:25883,HGNC:23761,0
NM_153370,NM_004694,HGNC:21245,HGNC:10927,0
NM_006091,XR_041878,HGNC:2256,HGNC:34336,0
NM_138484,NM_016070,HGNC:25088,HGNC:14509,0
NM_001002836,NM_152415,HGNC:26998,HGNC:24928,0
NM_005128,NM_003526,HGNC:1291,HGNC:4757,0
NM_175063,NM_002075,HGNC:27609,HGNC:4400,0
NM_018169,NM_032809,HGNC:25559,HGNC:23621,0
NM_014803,NM_144595,HGNC:29009,HGNC:26387,0
NM_176875,NM_001010853,HGNC:1571,HGNC:21408,0
NM_000216,NM_021235,HGNC:6211,HGNC:24634,0
NM_020945,NM_003493,HGNC:29323,HGNC:4778,0
NM_173582,NM_015060,HGNC:20898,HGNC:28994,0
NM_144638,NM_015255,HGNC:28444,HGNC:21289,0
NM_024754,NM_194294,HGNC:25734,HGNC:27269,0
NM_002170,NM_018480,HGNC:5429,HGNC:30883,0
NG_001019,NR_030398,HGNC:5526,HGNC:32793,0
NM_015341,NM_001013627,HGNC:1112,HGNC:33737,0
NM_198489,NM_007018,HGNC:30460,HGNC:1858,0
NM_030629,NR_003003,HGNC:24319,HGNC:32574,0
NM_004535,NM_001788,HGNC:7622,HGNC:1717,0
NM_005776,NM_080603,HGNC:19431,HGNC:16155,0
NR_029698,NM_004741,HGNC:31519,HGNC:15608,0
NG_004712,NM_005120,HGNC:2290,HGNC:11957,0
NM_003960,NM_001001974,HGNC:18069,HGNC:14335,0
NM_025196,NM_005507,HGNC:19696,HGNC:1874,0
NM_153214,NM_015325.1,HGNC:26740,HGNC:29154,0
NM_006764,NM_015444,HGNC:5457,HGNC:30293,0
NM_014510,NM_015433,HGNC:13406,HGNC:24936,0
NM_153612,NM_013389,HGNC:19419,HGNC:7898,0
NM_032609,NM_005226,HGNC:16232,HGNC:3167,0
NM_018379,NM_020169,HGNC:25648,HGNC:13347,0
NM_007195,NM_016492,HGNC:9182,HGNC:17679,0
NR_106969,NR_036266,HGNC:50150,HGNC:38218,0
NM_020189,NM_001081976,HGNC:24449,HGNC:51375,0
NM_022039,NM_004195,HGNC:10847,HGNC:11914,0
NM_003853,NM_153035,HGNC:5989,HGNC:26494,0
NM_080833,NM_004411,HGNC:16144,HGNC:2963,0
NM_198449,NM_001159,HGNC:30465,HGNC:553,0
NM_152406,NM_025061,HGNC:26714,HGNC:26272,0
NM_173658,NM_178550,HGNC:26720,HGNC:28736,0
NM_020722,NM_014780,HGNC:29219,HGNC:21024,0
NM_001310153,NM_014648,HGNC:37441,HGNC:30938,0
NM_016372,NM_139282,HGNC:30413,HGNC:29993,0
NM_004842,NM_013449,HGNC:377,HGNC:962,0
NM_004769,NM_052969,HGNC:101,HGNC:17094,0
NM_012391,NM_002175,HGNC:17257,HGNC:5424,0
NM_013325,NM_023007,HGNC:20790,HGNC:25724,0
NM_194326,NM_006367,HGNC:28749,HGNC:20040,0
NR_103538,NM_175748,HGNC:21195,HGNC:20344,0
NM_024300,NM_004824,HGNC:28314,HGNC:1811,0
NM_001011878,NM_198508,HGNC:18101,HGNC:24778,0
NM_000544,NM_004257,HGNC:44,HGNC:16836,0
NM_004925,NM_002953,HGNC:636,HGNC:10430,0
NM_014649,NM_015045,HGNC:21605,HGNC:23293,0
NM_001040110,"NM_004763, NM_022334",HGNC:7996,HGNC:23927,0
NM_003306,NM_152288,HGNC:12336,HGNC:28185,0
NM_002778,NM_152515,HGNC:9498,HGNC:26877,0
NM_002260,NM_003720,HGNC:6375,HGNC:3043,0
NM_003253,NM_000588,HGNC:11805,HGNC:6011,0
NM_005365,NM_005681,HGNC:6807,HGNC:11532,0
NM_001190702,NM_002569,HGNC:37165,HGNC:8568,0
NM_003181,NM_178456,HGNC:11515,HGNC:16216,0
NM_052904,NM_005978,HGNC:21221,HGNC:10492,0
NM_004827,NM_001145029,HGNC:74,HGNC:24165,0
NG_008909,NR_023371,HGNC:43626,HGNC:34370,0
NM_178349,NM_006836,HGNC:16611,HGNC:4199,0
NM_017823,NM_153706,HGNC:21480,HGNC:28508,0
NM_001956,NM_006388,HGNC:3177,HGNC:5275,0
NM_012155,NM_138697,HGNC:18035,HGNC:14448,0
NM_207397,NM_152911,HGNC:32043,HGNC:20837,0
NM_013444,NR_024087,HGNC:12509,HGNC:21342,0
NM_006468,NM_001101362,HGNC:30076,HGNC:37227,0
NM_178477,NR_030388,HGNC:16172,HGNC:32909,0
NM_181481,NM_024887,HGNC:1224,HGNC:20603,0
NM_020183,NR_031696,HGNC:18984,HGNC:35361,0
NM_001008747,NM_019105,HGNC:37295,HGNC:11976,0
NM_003730,NM_007265,HGNC:21686,HGNC:17029,0
NM_024699,NM_006437,HGNC:25858,HGNC:271,0
NM_032206,NG_001333,HGNC:29933,HGNC:12196,0
NM_152608,NM_016174,HGNC:26643,HGNC:23723,0
NM_002101,NM_001039792,HGNC:4704,HGNC:33872,0
NM_022150,NG_001333,HGNC:13782,HGNC:12243,0
NM_001358683,NM_000562,HGNC:26080,HGNC:1352,0
NM_032292,NM_006548,HGNC:25973,HGNC:28867,0
NM_198496,NM_153325,HGNC:24709,HGNC:18105,0
NM_031915,NM_138463,HGNC:20263,HGNC:25177,0
NM_024326,NM_024099,HGNC:28155,HGNC:28351,0
NM_002883,NG_001332,HGNC:9854,HGNC:12149,0
NM_002216,NM_000033,HGNC:6167,HGNC:61,0
NM_001202473,NM_017875,HGNC:38879,HGNC:26054,0
NM_003979,NM_021138,HGNC:9836,HGNC:12032,0
NM_001040084,NG_001019,HGNC:546,HGNC:5581,0
NM_020192,NM_004588,HGNC:24857,HGNC:10589,0
NM_018410,NM_000354,HGNC:25444,HGNC:11583,0
NM_005134,NM_173829,HGNC:9320,HGNC:26716,0
NM_001243722,NM_172234,HGNC:44657,HGNC:18015,0
NM_024780,NM_015338,HGNC:22999,HGNC:18318,0
NM_015613,NM_014673,HGNC:23404,HGNC:28963,0
NR_106755,NR_030228,HGNC:49981,HGNC:32138,0
