RefSeq1,RefSeq2,gene1,gene2,label
NM_000846,NM_007455,HGNC:4236,HGNC:30249,1
NM_145117,NM_021129,HGNC:4236,HGNC:9756,1
NM_002717,NM_006247,HGNC:9756,HGNC:30249,1
NM_000846,NM_007455,HGNC:851,HGNC:857,1
NM_145117,NM_021129,HGNC:7715,HGNC:7716,1
NM_002717,NM_006247,HGNC:7455,HGNC:7716,1
NM_006241,NM_139283,HGNC:6512,HGNC:17095,1
NM_173620,NM_000521,HGNC:8957,HGNC:8960,1
NM_000846,NM_002413,HGNC:22140,HGNC:9407,1
NM_000944,NM_030768,HGNC:7462,HGNC:7456,1
NM_005167,NM_030768,HGNC:7455,HGNC:7715,1
NM_014033,NM_016390,HGNC:393,HGNC:11842,1
NM_133373,NM_182811,HGNC:7462,HGNC:7707,1
NM_005167,NM_000944,HGNC:799,HGNC:801,1
YP_003024026,NM_005006,HGNC:7458,HGNC:7717,1
NM_005609,NM_002863,HGNC:391,HGNC:11842,1
NM_002578,NM_016281,HGNC:7458,HGNC:7716,1
NM_031417,NM_006257,HGNC:7455,HGNC:7458,1
NM_005246,NM_002227,HGNC:22140,HGNC:1985,1
NM_020223,NM_002576,HGNC:393,HGNC:9402,1
NM_139245,NM_181678,HGNC:391,HGNC:393,1
NM_006282,NM_002744,HGNC:22140,HGNC:8592,1
NM_016243,NM_016229,HGNC:9870,HGNC:21406,1
NM_005033,NM_181503,HGNC:7462,HGNC:7710,1
NM_017758,NM_001080432,HGNC:2972,HGNC:2973,1
NM_148897,NM_016245,HGNC:6524,HGNC:6193,1
NM_015020,NM_002718,HGNC:1875,HGNC:18603,1
NM_006259,NM_014683,HGNC:6460,HGNC:12731,1
NM_005605,NM_002716,HGNC:25356,HGNC:26267,1
NM_005808,NM_000944,HGNC:15984,HGNC:15807,1
NM_002717,NM_181678,HGNC:25896,HGNC:19721,1
NM_005181,NM_000717,HGNC:1374,HGNC:1375,1
NM_153699,NM_002413,HGNC:19662,HGNC:7063,1
NM_002227,NM_002821,HGNC:6190,HGNC:9618,1
NM_030965,NM_013305,HGNC:19342,HGNC:17827,1
NM_002706,NM_021132,HGNC:9276,HGNC:9315,1
NM_002717,NM_030768,HGNC:9304,HGNC:15566,1
NM_004431,NM_002821,HGNC:3386,HGNC:9618,1
NM_182948,NM_002742,HGNC:9381,HGNC:9407,1
NM_002227,NM_005356,HGNC:6190,HGNC:6524,1
NM_005167,NM_002720,HGNC:20785,HGNC:9319,1
NM_002707,NM_014225,HGNC:9278,HGNC:9302,1
NM_001744,"NM_032294, NM_172206, NM_172207",HGNC:1464,HGNC:1469,1
NM_182948,NM_007174,HGNC:9381,HGNC:1985,1
NM_145049,NM_021132,HGNC:28110,HGNC:9315,1
NM_001967,NM_176869,HGNC:3284,HGNC:28883,1
NM_181690,NM_006255,HGNC:393,HGNC:9403,1
NM_022819,NM_213600,HGNC:30040,HGNC:27396,1
NM_001114633,NM_001128203,HGNC:9036,HGNC:17825,1
NM_006247,NM_139283,HGNC:9322,HGNC:30695,1
NM_002103,NM_021957,HGNC:4706,HGNC:4707,1
NM_020223,NM_001042600,HGNC:22140,HGNC:6863,1
NM_012449,NM_018234,HGNC:11378,HGNC:24592,1
NM_002641,NM_153747,HGNC:8957,HGNC:8960,1
