RefSeq1,RefSeq2,gene1,gene2,label
NG_001019,NM_001114726,HGNC:5649,HGNC:37280,0
NM_013333,NM_017868,HGNC:21604,HGNC:23700,0
NM_006796,NM_152284,HGNC:315,HGNC:30599,0
NM_016433,NM_032300,HGNC:24867,HGNC:28135,0
NM_000146,NM_017679,HGNC:3999,HGNC:14347,0
NM_017592,NM_003994,HGNC:23074,HGNC:6343,0
NM_015933,NR_030321,HGNC:26932,HGNC:32846,0
NM_004494,NM_033319,HGNC:4856,HGNC:17879,0
NM_005077,NM_001586,HGNC:11837,HGNC:2563,0
NM_001274,NM_182688,HGNC:1925,HGNC:12483,0
NM_198075,NM_153687,HGNC:25430,HGNC:26430,0
NM_001291324,NM_000396,HGNC:29279,HGNC:2536,0
NM_001040011,NR_026770,HGNC:31412,HGNC:17505,0
NM_001033755,NM_203394,HGNC:24336,HGNC:23820,0
NM_019051,NM_013449,HGNC:16654,HGNC:962,0
NR_132339,NM_002938,HGNC:27409,HGNC:10067,0
NM_004655,NM_006474,HGNC:904,HGNC:29602,0
NM_003960,NM_018559,HGNC:18069,HGNC:20298,0
NM_003757,NM_002351,HGNC:3272,HGNC:10820,0
NR_146118,NM_024086,HGNC:53527,HGNC:28484,0
NM_019054,NM_032327,HGNC:28773,HGNC:20714,0
NR_034152,NM_001114403,HGNC:44310,HGNC:37278,0
NM_001144960,NM_003689,HGNC:29642,HGNC:389,0
NM_001242853,NM_015959,HGNC:38058,HGNC:30739,0
NM_001080142,NR_145772,HGNC:33286,HGNC:52242,0
NM_004378,NM_014506,HGNC:2338,HGNC:11995,0
NM_173508,NM_138371,HGNC:23616,HGNC:28255,0
NM_021006,NM_003604,HGNC:10628,HGNC:6128,0
NM_016135,NM_174890,HGNC:18160,HGNC:23504,0
NR_023358,NM_017592,HGNC:33559,HGNC:23074,0
NM_004949,NM_001001850,HGNC:3036,HGNC:19300,0
NM_032871,NM_001039375,HGNC:13764,HGNC:15899,0
NR_030411,NM_001007561,HGNC:33137,HGNC:24868,0
NM_032445,NM_016424,HGNC:29635,HGNC:24309,0
NM_020769,NM_001018111,HGNC:29245,HGNC:9171,0
NM_130852,NM_002803,HGNC:15749,HGNC:9548,0
NM_015150,NM_021952,HGNC:30278,HGNC:3315,0
